Open Price,Low Price,High Price,Close Price,Change Amount,Change Percent,Gregorian Date,Persian Date
1057500,1057200,1074900,1071200,14200,1.34%,2025/08/02,1404/05/11
1049100,1048500,1057600,1057000,21600,2.09%,2025/08/01,1404/05/10
1026000,1025000,1041000,1035400,7400,0.72%,2025/07/30,1404/05/08
1031500,1024300,1034700,1028000,2700,0.26%,2025/07/29,1404/05/07
1030000,1027400,1037700,1030700,3700,0.36%,2025/07/28,1404/05/06
1032800,1030300,1041800,1034400,800,0.08%,2025/07/27,1404/05/05
1034500,1029600,1034800,1033600,600,0.06%,2025/07/26,1404/05/04
1038000,1032600,1044800,1034200,6300,0.61%,2025/07/25,1404/05/03
1037000,1035500,1040600,1040500,5700,0.55%,2025/07/23,1404/05/01
1036700,1031500,1037900,1034800,1300,0.13%,2025/07/22,1404/04/31
1028100,1027600,1037900,1036100,8500,0.83%,2025/07/21,1404/04/30
1010600,1010000,1030700,1027600,18100,1.79%,2025/07/20,1404/04/29
1017400,1009200,1019500,1009500,9100,0.9%,2025/07/19,1404/04/28
1031400,1018300,1031700,1018600,10000,0.98%,2025/07/18,1404/04/27
1029500,1024700,1030800,1028600,5500,0.53%,2025/07/16,1404/04/25
1031100,1027500,1041200,1034100,6000,0.58%,2025/07/15,1404/04/24
1040600,1039100,1054000,1044900,4900,0.47%,2025/07/14,1404/04/23
1019200,1019200,1042400,1040000,21900,2.15%,2025/07/12,1404/04/21
1029500,1016900,1029600,1018100,15900,1.56%,2025/07/11,1404/04/20
1030700,1029000,1035200,1034000,5500,0.53%,2025/07/09,1404/04/18
1020900,1020900,1034500,1028500,9300,0.91%,2025/07/08,1404/04/17
1038400,1015200,1039100,1019200,18200,1.79%,2025/07/07,1404/04/16
1065500,1037100,1067200,1037400,38900,3.75%,2025/07/06,1404/04/15
1081100,1073900,1092000,1076300,1800,0.17%,2025/07/02,1404/04/11
1080800,1061900,1081200,1078100,1500,0.14%,2025/07/01,1404/04/10
1085400,1079600,1088400,1079600,12000,1.12%,2025/06/30,1404/04/09
1035400,1034300,1069200,1067600,34400,3.33%,2025/06/29,1404/04/08
992200,991900,1035700,1033200,41600,4.2%,2025/06/28,1404/04/07
979700,979600,992900,991600,21400,2.21%,2025/06/27,1404/04/06
954300,954100,972200,970200,19200,2.02%,2025/06/11,1404/03/21
935300,934700,951100,951000,15200,1.62%,2025/06/10,1404/03/20
938500,935500,940600,935800,5800,0.62%,2025/06/09,1404/03/19
940500,940300,943400,941600,3800,0.41%,2025/06/08,1404/03/18
932600,932500,938100,937800,4100,0.44%,2025/06/07,1404/03/17
952400,933700,952400,933700,3200,0.34%,2025/06/06,1404/03/16
943800,936000,944600,936900,4500,0.48%,2025/06/02,1404/03/12
937500,931500,942600,941400,8100,0.87%,2025/06/01,1404/03/11
936600,932200,937500,933300,5600,0.6%,2025/05/31,1404/03/10
939800,937300,942800,938900,4800,0.51%,2025/05/30,1404/03/09
929800,925300,934800,934100,100,0.01%,2025/05/28,1404/03/07
938000,933400,940000,934000,4700,0.5%,2025/05/27,1404/03/06
934000,933000,942000,938700,2600,0.28%,2025/05/26,1404/03/05
939000,931000,939800,936100,100,0.01%,2025/05/25,1404/03/04
941600,935700,941800,936000,6600,0.71%,2025/05/24,1404/03/03
946300,941400,948600,942600,7400,0.79%,2025/05/23,1404/03/02
933600,930000,937400,935200,8500,0.91%,2025/05/21,1404/02/31
952800,943500,966200,943700,2500,0.26%,2025/05/20,1404/02/30
921900,921500,966300,946200,26100,2.84%,2025/05/19,1404/02/29
917500,916800,928800,920100,6600,0.72%,2025/05/18,1404/02/28
918800,907700,923600,913500,5800,0.63%,2025/05/17,1404/02/27
926800,919200,931900,919300,14000,1.52%,2025/05/16,1404/02/26
932600,929200,933800,933300,-,-,2025/05/14,1404/02/24
935400,931900,941100,933300,700,0.08%,2025/05/13,1404/02/23
928700,925200,933600,932600,5400,0.58%,2025/05/12,1404/02/22
927100,924000,939500,927200,9000,0.97%,2025/05/11,1404/02/21
939000,933500,953700,936200,4000,0.43%,2025/05/10,1404/02/20
922300,922300,940700,940200,500,0.05%,2025/05/09,1404/02/19
926600,926400,948600,939700,8700,0.93%,2025/05/07,1404/02/17
936000,927200,944500,931000,4300,0.46%,2025/05/06,1404/02/16
956100,930900,956200,935300,19200,2.05%,2025/05/05,1404/02/15
976400,952400,977400,954500,16400,1.72%,2025/05/04,1404/02/14
963000,962900,979200,970900,2300,0.24%,2025/05/03,1404/02/13
961300,961200,982500,968600,40900,4.41%,2025/05/02,1404/02/12
918900,918800,929900,927700,3600,0.39%,2025/04/30,1404/02/10
920700,920300,928700,924100,100,0.01%,2025/04/29,1404/02/09
921900,912100,928300,924200,1900,0.21%,2025/04/28,1404/02/08
945100,921600,945800,926100,13900,1.5%,2025/04/27,1404/02/07
942500,938400,961100,940000,1700,0.18%,2025/04/26,1404/02/06
904300,903800,941200,938300,20100,2.19%,2025/04/25,1404/02/05
927500,916200,928200,918200,8200,0.89%,2025/04/22,1404/02/02
942300,911200,945000,926400,17700,1.91%,2025/04/21,1404/02/01
956500,940600,970900,944100,700,0.07%,2025/04/20,1404/01/31
944700,923000,950700,943400,4600,0.49%,2025/04/19,1404/01/30
967900,948000,984900,948000,23000,2.43%,2025/04/18,1404/01/29
998300,965300,998500,971000,24300,2.5%,2025/04/16,1404/01/27
1000900,985900,1011400,995300,2900,0.29%,2025/04/15,1404/01/26
1015300,992400,1037700,992400,8400,0.85%,2025/04/14,1404/01/25
970400,968100,1023700,1000800,23700,2.43%,2025/04/13,1404/01/24
1075700,942800,1075700,977100,115600,11.83%,2025/04/12,1404/01/23
1129400,1084700,1129400,1092700,28700,2.63%,2025/04/11,1404/01/22
1098100,1095200,1124200,1121400,17800,1.61%,2025/04/09,1404/01/20
1104800,1101200,1111600,1103600,15300,1.41%,2025/04/08,1404/01/19
1159600,1078700,1160700,1088300,64600,5.94%,2025/04/07,1404/01/18
1153800,1148800,1162800,1152900,7100,0.62%,2025/04/06,1404/01/17
1127500,1127100,1146200,1145800,19300,1.71%,2025/04/05,1404/01/16
1139600,1126500,1139600,1126500,4200,0.37%,2025/04/04,1404/01/15
1131900,1122000,1132200,1122300,9900,0.88%,2025/03/29,1404/01/09
1129700,1129600,1135400,1132200,23900,2.16%,2025/03/28,1404/01/08
1103400,1102300,1110400,1108300,2400,0.22%,2025/03/26,1404/01/06
1106000,1092300,1110000,1105900,1200,0.11%,2025/03/25,1404/01/05
1060500,1058900,1125700,1107100,31300,2.91%,2025/03/24,1404/01/04
1070400,1044200,1080800,1075800,39400,3.8%,2025/03/17,1403/12/27
1022300,1021500,1037300,1036400,16100,1.58%,2025/03/16,1403/12/26
1000300,999900,1020500,1020300,22200,2.22%,2025/03/15,1403/12/25
1006000,993000,1006400,998100,8300,0.83%,2025/03/14,1403/12/24
1014200,1005300,1017700,1006400,12000,1.19%,2025/03/12,1403/12/22
1015400,1012400,1019800,1018400,3200,0.32%,2025/03/11,1403/12/21
1012300,1010800,1021200,1015200,6900,0.68%,2025/03/10,1403/12/20
1019000,1002900,1019600,1008300,2700,0.27%,2025/03/09,1403/12/19
995400,995100,1007300,1005600,10700,1.08%,2025/03/08,1403/12/18
